country,region,year,earthquakeDeaths
"Congo, Rep.",Africa,1972,0
Costa Rica,Americas,1972,0
Croatia,Europe,1972,0
Cuba,Americas,1972,0
Cyprus,Europe,1972,0
Dominica,Americas,1972,0
Dominican Republic,Americas,1972,0
Ecuador,Americas,1972,0
Egypt,Africa,1972,0
El Salvador,Americas,1972,0
Fiji,Asia,1972,0
Georgia,Europe,1972,0
Germany,Europe,1972,0
Greece,Europe,1972,0
Guatemala,Americas,1972,0
Guinea,Africa,1972,0
Honduras,Americas,1972,0
Iceland,Europe,1972,0
India,Asia,1972,100
Indonesia,Asia,1972,0
Iran,Asia,1972,5060
Iraq,Asia,1972,0
Italy,Europe,1972,1
Japan,Asia,1972,0
Kazakhstan,Asia,1972,0
Kenya,Africa,1972,0
Kyrgyz Republic,Asia,1972,0
Malawi,Africa,1972,0
Mexico,Americas,1972,0
Morocco,Africa,1972,0
Mozambique,Africa,1972,0
Myanmar,Asia,1972,0
Nepal,Asia,1972,0
Netherlands,Europe,1972,0
New Zealand,Asia,1972,0
Nicaragua,Americas,1972,10000
North Korea,Asia,1972,0
Pakistan,Asia,1972,0
Panama,Americas,1972,0
Papua New Guinea,Asia,1972,0
Peru,Americas,1972,12
Philippines,Asia,1972,0
Poland,Europe,1972,0
Romania,Europe,1972,0
Russia,Europe,1972,0
Rwanda,Africa,1972,0
Slovenia,Europe,1972,0
Solomon Islands,Asia,1972,0
South Africa,Africa,1972,0
Spain,Europe,1972,0
St. Lucia,Americas,1972,0
Sudan,Africa,1972,0
Tajikistan,Asia,1972,0
Tanzania,Africa,1972,0
Thailand,Asia,1972,0
Tonga,Asia,1972,0
Trinidad and Tobago,Americas,1972,0
Turkey,Europe,1972,0
Turkmenistan,Asia,1972,0
Uganda,Africa,1972,0
United Kingdom,Europe,1972,0
United States,Americas,1972,0
Uzbekistan,Asia,1972,0
Vanuatu,Asia,1972,0
Venezuela,Americas,1972,0
Yemen,Asia,1972,0
Afghanistan,Asia,1973,0
Albania,Europe,1973,0
Algeria,Africa,1973,0
Argentina,Americas,1973,0
Armenia,Europe,1973,0
Australia,Asia,1973,0
Austria,Europe,1973,0
Azerbaijan,Europe,1973,0
Bangladesh,Asia,1973,0
Barbados,Americas,1973,0
Belgium,Europe,1973,0
Bolivia,Americas,1973,0
Brazil,Americas,1973,0
Bulgaria,Europe,1973,0
Burundi,Africa,1973,0
Chile,Americas,1973,0
China,Asia,1973,0
Colombia,Americas,1973,0
"Congo, Dem. Rep.",Africa,1973,0
"Congo, Rep.",Africa,1973,0
Costa Rica,Americas,1973,21
Croatia,Europe,1973,0
Cuba,Americas,1973,0
Cyprus,Europe,1973,0
Dominica,Americas,1973,0
Dominican Republic,Americas,1973,0
Ecuador,Americas,1973,0
Egypt,Africa,1973,0
El Salvador,Americas,1973,0
Fiji,Asia,1973,0
Georgia,Europe,1973,0
Germany,Europe,1973,0
Greece,Europe,1973,0
Guatemala,Americas,1973,0
Guinea,Africa,1973,0
Honduras,Americas,1973,0
Iceland,Europe,1973,0
India,Asia,1973,0
Indonesia,Asia,1973,0
Iran,Asia,1973,0
Iraq,Asia,1973,0
Italy,Europe,1973,0
Japan,Asia,1973,0
Kazakhstan,Asia,1973,0
Kenya,Africa,1973,0
Kyrgyz Republic,Asia,1973,0
Malawi,Africa,1973,0
Mexico,Americas,1973,517
Morocco,Africa,1973,0
Mozambique,Africa,1973,0
Myanmar,Asia,1973,0
Nepal,Asia,1973,0
Netherlands,Europe,1973,0
New Zealand,Asia,1973,0
Nicaragua,Americas,1973,0
